id,country,iso3,latitude,longitude,centroid,role,displacement_type,qualifier,figure,displacement_date,displacement_start_date,displacement_end_date,year,event_id,event_name,event_codes,event_code_types,event_start_date,event_end_date,category,subcategory,type,subtype,old_id,sources,source_url,locations_name,locations_coordinates,locations_accuracy,locations_type,displacement_occurred,created_at,description,link,combined_type
228650,India,IND,25.311069,94.47538,"[25.311069, 94.47538]",Recommended figure,Conflict,total,110,2026-02-09,2026-02-09,2026-02-09,2026,39629,India: Non-International armed conflict (NIAC) - Manipur (Ukhrul) - 09/02/2026,,,2026-02-09,2026-02-09,,,,,,Police,,"Ukhrul, Manipur, India","25.311069, 94.47538",District/Zone/Department (ADM2),Origin,,2026-02-10T06:24:57.314713Z,"India: 110 displacements (destroyed housing), 09 February - 09 February. According to local authority, a total of 25 households were displaced due to destroyed housing in Ukhrul, Manipur, India due to non-international armed conflict (niac) on 9 February The Indian Express - 09 February 2026",,Conflict
224767,India,IND,20.431129,82.244904,"[20.431129, 82.244904]",Recommended figure,Conflict,total,26,2026-02-01,2026-02-01,2026-02-01,2026,39218,India: Communal violence - Chhattisgarh (Dutkaiyya) - 01/02/2026,,,2026-02-01,2026-02-01,,,,,,Police,,"Gariaband, Chhattisgarh, India","20.431129, 82.244904",District/Zone/Department (ADM2),Origin,,2026-02-03T07:20:42.572141Z,"India: 26 displacements (destroyed housing), 01 February - 01 February. A total of 6 households were displaced due to destroyed housing due to communal violence on 1 February in Gariaband, Chhattisgarh, India, according to local authority. The Indian Express - 03 February 2026",,Conflict
222963,India,IND,26.599461,90.123917,"[26.599461, 90.123917]",Recommended figure,Conflict,total,2900,2026-01-21,2026-01-19,2026-01-21,2026,39108,India: Communal violence - Assam (Kokrajhar) - 19/01/2026,,,2026-01-19,2026-01-20,,,,,,Police,,"Kokrajhar, Assam, India","26.599461, 90.123917",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2026-01-22T13:22:31.611624Z,"India: 2,900 displacements (in relief camp), 19 January - 21 January. A total of 2900 people were in relief camp due to communal violence on 19 January in Kokrajhar, Assam, India, according to local authority. The Indian Express - 22 January 2026",,Conflict
219703,India,IND,26.12117,94.555794,"[26.12117, 94.555794]",Recommended figure,Disaster,total,31,2026-01-06,2026-01-06,2026-01-06,2026,37949,India: Flood - Nagaland - 06/01/2026,,,2026-01-06,2026-01-06,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Nagaland, India","26.12117, 94.555794",State/Region/Province (ADM1),Origin,,2026-01-13T09:55:16.738172Z,"India: 31 displacements (destroyed housing), 06 January - 06 January. According to national/regional disaster authorities, a total of 7 households were displaced due to destroyed housing in Nagaland, India due to flood on 6 January National Disaster Management Authority (NDMA) - 06 January 2026",,Flood
219701,India,IND,25.577869,91.265472,"[25.577869, 91.265472]",Recommended figure,Disaster,total,9,2025-12-27,2025-12-27,2025-12-27,2025,37948,India: Flood - Meghalaya - 26/12/2025,,,2025-12-26,2025-12-26,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Meghalaya, India","25.577869, 91.265472",State/Region/Province (ADM1),Origin,,2026-01-13T09:50:59.559907Z,"India: 9 displacements (destroyed housing), 27 December - 27 December. Flood resulted in a total of 2 households being displaced due to destroyed housing in Meghalaya, India on 27 December, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 27 December 2025",,Flood
219699,India,IND,25.577869,91.265472,"[25.577869, 91.265472]",Recommended figure,Disaster,total,4,2025-12-26,2025-12-26,2025-12-26,2025,37948,India: Flood - Meghalaya - 26/12/2025,,,2025-12-26,2025-12-26,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Meghalaya, India","25.577869, 91.265472",State/Region/Province (ADM1),Origin,,2026-01-13T09:48:48.153810Z,"India: 4 displacements (destroyed housing), 26 December - 26 December. Flood resulted in a total of 1 household being displaced due to destroyed housing in Meghalaya, India on 26 December, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 26 December 2025",,Flood
219697,India,IND,31.929239,77.182854,"[31.929239, 77.182854]",Recommended figure,Disaster,total,9,2025-12-23,2025-12-23,2025-12-23,2025,37947,India: Flood - Himachal Pradesh - 23/12/2025,,,2025-12-23,2025-12-23,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Himachal Pradesh, India","31.929239, 77.182854",State/Region/Province (ADM1),Origin,,2026-01-13T09:45:48.070063Z,"India: 9 displacements (destroyed housing), 23 December - 23 December. Flood resulted in a total of 2 households being displaced due to destroyed housing in Himachal Pradesh, India on 23 December, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 23 December 2025",,Flood
219693,India,IND,26.12117,94.555794,"[26.12117, 94.555794]",Recommended figure,Disaster,total,9,2025-12-17,2025-12-17,2025-12-17,2025,37945,India: Flood - Nagaland - 17/12/2025,,,2025-12-17,2025-12-17,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Nagaland, India","26.12117, 94.555794",State/Region/Province (ADM1),Origin,,2026-01-13T09:41:14.741242Z,"India: 9 displacements (destroyed housing), 17 December - 17 December. A total of 2 households were displaced due to destroyed housing due to flood on 17 December in Nagaland, India, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 16 December 2025",,Flood
219695,India,IND,27.60103,88.45414,"[27.60103, 88.45414]",Recommended figure,Disaster,total,9,2025-12-17,2025-12-17,2025-12-17,2025,37946,India: Flood - Sikkim - 17/12/2025,,,2025-12-17,2025-12-17,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Sikkim, India","27.60103, 88.45414",State/Region/Province (ADM1),Origin,,2026-01-13T09:41:14.882541Z,"India: 9 displacements (destroyed housing), 17 December - 17 December. According to national/regional disaster authorities, a total of 2 households were displaced due to destroyed housing in Sikkim, India due to flood on 17 December National Disaster Management Authority (NDMA) - 16 December 2025",,Flood
219691,India,IND,25.577869,91.265472,"[25.577869, 91.265472]",Recommended figure,Disaster,total,4,2025-12-17,2025-12-17,2025-12-17,2025,37944,India: Flood - Meghalaya - 17/12/2025,,,2025-12-17,2025-12-17,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Meghalaya, India","25.577869, 91.265472",State/Region/Province (ADM1),Origin,,2026-01-13T09:41:14.594293Z,"India: 4 displacements (destroyed housing), 17 December - 17 December. Flood resulted in a total of 1 household being displaced due to destroyed housing in Meghalaya, India on 17 December, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 16 December 2025",,Flood
218146,India,IND,25.39337,94.15052,"[25.39337, 94.15052]",Recommended figure,Conflict,more than or equal to,1621,2025-12-11,2025-12-11,2025-12-11,2025,37647,India: Communal violence - Manipur (Marenmei) - 11/12/2025,,,2025-12-11,2025-12-11,,,,,,Local Tribal Leaders,,"Senapati, Manipur, India","25.39337, 94.15052",District/Zone/Department (ADM2),Origin,,2025-12-16T13:14:01.550399Z,"India: 1,621 displacements (destroyed housing), 11 December - 11 December. According to community leaders, more than or equal to 370 households were displaced due to destroyed housing in Senapati, Manipur, India due to communal violence on 11 December Media - 11 December 2025",,Conflict
218148,India,IND,18.269751,81.95504,"[18.269751, 81.95504]",Recommended figure,Conflict,total,823,2025-12-09,2025-12-09,2025-12-09,2025,37648,India: Crime-related violence - Orissa (Malkangiri) - 09/12/2025,,,2025-12-09,2025-12-09,,,,,,District authorities ,,"Malkangiri, Odisha, India","18.269751, 81.95504",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-12-16T13:24:27.316864Z,"India: 823 displacements (forced to flee), 09 December - 09 December. A total of 188 households were forced to flee due to crime-related violence on 9 December in Malkangiri, Odisha, India, according to local authority. The Times of India - 10 December 2025",,Conflict
220177,India,IND,18.269751,81.95504,"[18.269751, 81.95504]",Recommended figure,Conflict,more than or equal to,219,2025-12-08,2025-12-07,2025-12-08,2025,38027,India: Communal violence - Odisha (Malkangiri) - 07/12/2025,,,2025-12-07,2025-12-08,,,,,,District authorities ,,"Malkangiri, Odisha, India","18.269751, 81.95504",District/Zone/Department (ADM2),Origin,,2026-01-20T10:18:23.648723Z,"India: 219 displacements (destroyed housing), 07 December - 08 December. More than or equal to 50 households were displaced due to destroyed housing due to communal violence on 7 December in Malkangiri, Odisha, India, according to local authority. The Indian Express - 09 December 2025",,Conflict
218128,India,IND,31.929239,77.182854,"[31.929239, 77.182854]",Recommended figure,Disaster,total,31,2025-12-05,2025-12-05,2025-12-05,2025,37644,India: Flood - Himachal Pradesh - 05/12/2025,,,2025-12-05,2025-12-05,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Himachal Pradesh, India","31.929239, 77.182854",State/Region/Province (ADM1),Origin,,2025-12-16T11:27:06.705855Z,"India: 31 displacements (destroyed housing), 05 December - 05 December. Flood resulted in a total of 7 households being displaced due to destroyed housing in Himachal Pradesh, India on 5 December, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 05 December 2025",,Flood
218130,India,IND,27.60103,88.45414,"[27.60103, 88.45414]",Recommended figure,Disaster,total,4,2025-12-05,2025-12-05,2025-12-05,2025,37645,India: Flood - Sikkim - 05/12/2025,,,2025-12-05,2025-12-05,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Sikkim, India","27.60103, 88.45414",State/Region/Province (ADM1),Origin,,2025-12-16T11:27:06.807112Z,"India: 4 displacements (destroyed housing), 05 December - 05 December. According to national/regional disaster authorities, a total of 1 household were displaced due to destroyed housing in Sikkim, India due to flood on 5 December National Disaster Management Authority (NDMA) - 05 December 2025",,Flood
214743,India,IND,26.12117,94.555794,"[26.12117, 94.555794]",Recommended figure,Disaster,total,26,2025-11-28,2025-11-28,2025-11-28,2025,37187,India: Flood - Nagaland - 28/11/2025,,,2025-11-28,2025-11-28,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Nagaland, India","26.12117, 94.555794",State/Region/Province (ADM1),Origin,,2025-12-03T13:10:59.223461Z,"India: 26 displacements (destroyed housing), 28 November - 28 November. According to national/regional disaster authorities, a total of 6 households were displaced due to destroyed housing in Nagaland, India due to flood on 28 November National Disaster Management Authority (NDMA) - 28 November 2025",,Flood
214745,India,IND,11.085475555555556,79.28556411111111,"[11.085475555555556, 79.28556411111111]",Recommended figure,Disaster,total,2391,2025-12-03,2025-11-27,2025-12-03,2025,37189,"India, Sri Lanka: Cyclone Ditwah - Multiple Districts - 27/11/2025",,,2025-11-27,2025-12-03,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,State Authorities,,"Chengalpattu, Kanchipuram district, Tamil Nadu, India; Mayiladuthurai, Nagapattinam district, Tamil Nadu, India; Nagapattinam district, Tamil Nadu, India; Pudukkottai district, Tamil Nadu, India; Ramanathapuram district, Tamil Nadu, India; Ranipettai, Vellore district, Tamil Nadu, India; Teravur, Iluppur taluk, Pudukkottai district, Tamil Nadu, India; Thanjavur district, Tamil Nadu, India; Viluppuram district, India","12.68409, 79.983643; 11.10186, 79.650322; 10.39765, 79.781479; 10.20052, 78.994766; 9.40996, 78.80748; 12.92726, 79.333008; 10.54045, 78.550682; 10.54417, 79.283707; 11.96332, 79.18499",County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3); District/Zone/Department (ADM2); District/Zone/Department (ADM2); District/Zone/Department (ADM2); County/City/town/Village/Woreda (ADM3); County/City/town/Village/Woreda (ADM3); District/Zone/Department (ADM2); District/Zone/Department (ADM2),Origin; Origin; Origin; Origin; Origin; Origin; Origin; Origin; Origin,Displacement without preventive evacuations reported,2025-12-03T13:30:25.750186Z,"India: 2,391 displacements (sheltered), 27 November - 03 December. Typhoon/hurricane/cyclone resulted in a total of 2391 people being sheltered in Pudukkottai district, Tamil Nadu, India, Mayiladuthurai, Nagapattinam district, Tamil Nadu, India, Ramanathapuram district, Tamil Nadu, India, Teravur, Iluppur taluk, Pudukkottai district, Tamil Nadu, India, Thanjavur district, Tamil Nadu, India, Nagapattinam district, Tamil Nadu, India, Ranipettai, Vellore district, Tamil Nadu, India, Chengalpattu, Kanchipuram district, Tamil Nadu, India, Viluppuram district, India on 27 November, according to local authority. Hindustan Times - 30 November 2025",,Storm
214739,India,IND,31.929239,77.182854,"[31.929239, 77.182854]",Recommended figure,Disaster,total,9,2025-11-21,2025-11-21,2025-11-21,2025,37186,India: Flood - Himachal Pradesh - 21/11/2025,,,2025-11-21,2025-11-21,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Himachal Pradesh, India","31.929239, 77.182854",State/Region/Province (ADM1),Origin,,2025-12-03T12:58:47.534962Z,"India: 9 displacements (destroyed housing), 21 November - 21 November. A total of 2 households were displaced due to destroyed housing due to flood on 21 November in Himachal Pradesh, India, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 21 November 2025",,Flood
214737,India,IND,25.577869,91.265472,"[25.577869, 91.265472]",Recommended figure,Disaster,total,4,2025-11-20,2025-11-20,2025-11-20,2025,37183,India: Flood - Meghalaya - 10/11/2025,,,2025-11-10,2025-11-10,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Meghalaya, India","25.577869, 91.265472",State/Region/Province (ADM1),Origin,,2025-12-03T12:55:35.752064Z,"India: 4 displacements (destroyed housing), 20 November - 20 November. Flood resulted in a total of 1 household being displaced due to destroyed housing in Meghalaya, India on 20 November, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 20 November 2025",,Flood
214735,India,IND,25.577869,91.265472,"[25.577869, 91.265472]",Recommended figure,Disaster,total,9,2025-11-19,2025-11-19,2025-11-19,2025,37183,India: Flood - Meghalaya - 10/11/2025,,,2025-11-10,2025-11-10,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Meghalaya, India","25.577869, 91.265472",State/Region/Province (ADM1),Origin,,2025-12-03T12:52:37.753447Z,"India: 9 displacements (destroyed housing), 19 November - 19 November. Flood resulted in a total of 2 households being displaced due to destroyed housing in Meghalaya, India on 19 November, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 19 November 2025",,Flood
214733,India,IND,10.44581,76.27562,"[10.44581, 76.27562]",Recommended figure,Disaster,total,4,2025-11-19,2025-11-19,2025-11-19,2025,37185,India: Flood - Kerala - 19/11/2025,,,2025-11-19,2025-11-19,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Kerala, India","10.44581, 76.27562",District/Zone/Department (ADM2),Origin,,2025-12-03T12:52:37.602262Z,"India: 4 displacements (destroyed housing), 19 November - 19 November. According to national/regional disaster authorities, a total of 1 household were displaced due to destroyed housing in Kerala, India due to flood on 19 November National Disaster Management Authority (NDMA) - 19 November 2025",,Flood
214727,India,IND,25.577869,91.265472,"[25.577869, 91.265472]",Recommended figure,Disaster,total,4,2025-11-10,2025-11-10,2025-11-10,2025,37183,India: Flood - Meghalaya - 10/11/2025,,,2025-11-10,2025-11-10,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Meghalaya, India","25.577869, 91.265472",State/Region/Province (ADM1),Origin,,2025-12-03T12:39:21.623868Z,"India: 4 displacements (destroyed housing), 10 November - 10 November. According to national/regional disaster authorities, a total of 1 household were displaced due to destroyed housing in Meghalaya, India due to flood on 10 November National Disaster Management Authority (NDMA) - 10 November 2025",,Flood
214724,India,IND,27.60103,88.45414,"[27.60103, 88.45414]",Recommended figure,Disaster,total,32,2025-11-05,2025-11-05,2025-11-05,2025,37182,India: Flood - Sikkim - 05/11/2025,,,2025-11-05,2025-11-05,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Sikkim, India","27.60103, 88.45414",State/Region/Province (ADM1),Origin,Displacement without preventive evacuations reported,2025-12-03T12:31:29.376946Z,"India: 32 displacements (in relief camp), 05 November - 05 November. A total of 32 people were in relief camp due to flood on 5 November in Sikkim, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 05 November 2025",,Flood
214720,India,IND,22.41342,71.498672,"[22.41342, 71.498672]",Recommended figure,Disaster,total,9,2025-11-04,2025-11-04,2025-11-04,2025,37181,India: Flood - Gujarat - 04/11/2025,,,2025-11-04,2025-11-04,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Gujarat, India","22.41342, 71.498672",State/Region/Province (ADM1),Origin,,2025-12-03T12:25:06.958514Z,"India: 9 displacements (destroyed housing), 04 November - 04 November. Flood resulted in a total of 2 households being displaced due to destroyed housing in Gujarat, India on 4 November, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 04 November 2025",,Flood
208207,India,IND,15.89329,79.776657,"[15.89329, 79.776657]",Recommended figure,Disaster,total,116000,2025-10-31,2025-10-25,2025-10-31,2025,37005,India: Cyclone Montha - Andhra Pradesh - 25/10/2025,,,2025-10-25,2025-10-31,Weather related,Meteorological,Storm,Typhoon/Hurricane/Cyclone,,State Authorities,,"Andhra Pradesh, India","15.89329, 79.776657",District/Zone/Department (ADM2),Origin,Displacement reporting preventive evacuations,2025-11-20T12:59:46.734853Z,"India: 116,000 displacements (evacuated), 25 October - 31 October. Cyclone Montha resulted in a total of 116000 people being evacuated in Andhra Pradesh, India from 25 October, according to local authority. The New Indian Express - 25 October 2025",,Storm
204290,India,IND,31.929239,77.182854,"[31.929239, 77.182854]",Recommended figure,Disaster,total,18,2025-10-25,2025-10-25,2025-10-25,2025,36858,India: Flood - Himachal Pradesh - 25/10/2025,,,2025-10-25,2025-10-25,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Himachal Pradesh, India","31.929239, 77.182854",State/Region/Province (ADM1),Origin,,2025-11-04T13:22:37.795845Z,"India: 18 displacements (destroyed housing), 25 October - 25 October. According to national/regional disaster authorities, a total of 4 households were displaced due to destroyed housing in Himachal Pradesh, India due to flood on 25 October National Disaster Management Authority (NDMA) - 25 October 2025",,Flood
204292,India,IND,10.44581,76.27562,"[10.44581, 76.27562]",Recommended figure,Disaster,total,9,2025-10-25,2025-10-25,2025-10-25,2025,36859,India: Flood - Kerala - 25/10/2025,,,2025-10-25,2025-10-25,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Kerala, India","10.44581, 76.27562",District/Zone/Department (ADM2),Origin,,2025-11-04T13:23:33.527457Z,"India: 9 displacements (destroyed housing), 25 October - 25 October. A total of 2 households were displaced due to destroyed housing due to flood on 25 October in Kerala, India, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 25 October 2025",,Flood
204287,India,IND,25.577869,91.265472,"[25.577869, 91.265472]",Recommended figure,Disaster,total,4,2025-10-24,2025-10-24,2025-10-24,2025,36857,India: Flood - Meghalaya - 24/10/2025,,,2025-10-24,2025-10-24,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Meghalaya, India","25.577869, 91.265472",State/Region/Province (ADM1),Origin,,2025-11-04T13:19:49.695341Z,"India: 4 displacements (destroyed housing), 24 October - 24 October. According to national/regional disaster authorities, a total of 1 household were displaced due to destroyed housing in Meghalaya, India due to flood on 24 October National Disaster Management Authority (NDMA) - 24 October 2025",,Flood
204281,India,IND,26.12117,94.555794,"[26.12117, 94.555794]",Recommended figure,Disaster,total,4,2025-10-23,2025-10-23,2025-10-23,2025,36855,India: Flood - Nagaland - 23/10/2025,,,2025-10-23,2025-10-23,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Nagaland, India","26.12117, 94.555794",State/Region/Province (ADM1),Origin,,2025-11-04T13:16:10.422718Z,"India: 4 displacements (destroyed housing), 23 October - 23 October. According to national/regional disaster authorities, a total of 1 household were displaced due to destroyed housing in Nagaland, India due to flood on 23 October National Disaster Management Authority (NDMA) - 23 October 2025",,Flood
204285,India,IND,10.90254,79.975243,"[10.90254, 79.975243]",Triangulation,Disaster,total,76,2025-10-23,2025-10-23,2025-10-23,2025,36856,India: Flood - Puducherry - 23/10/2025,,,2025-10-23,2025-10-23,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Puducherry, India","10.90254, 79.975243",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-11-04T13:16:10.697164Z,"India: 76 displacements (evacuated), 23 October - 23 October. A total of 76 people were evacuated due to flood on 23 October in Puducherry, India, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 23 October 2025",,Flood
195317,India,IND,25.577869,91.265472,"[25.577869, 91.265472]",Recommended figure,Disaster,total,4,2025-10-15,2025-10-15,2025-10-15,2025,33653,India: Flood - Meghalaya - 15/10/2025,,,2025-10-15,2025-10-15,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Meghalaya, India","25.577869, 91.265472",State/Region/Province (ADM1),Origin,,2025-10-22T08:55:37.214845Z,"India: 4 displacements (destroyed housing), 15 October - 15 October. A total of 1 household were displaced due to destroyed housing due to flood on 15 October in Meghalaya, India, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 15 October 2025",,Flood
195304,India,IND,31.929239,77.182854,"[31.929239, 77.182854]",Recommended figure,Disaster,total,18,2025-10-14,2025-10-14,2025-10-14,2025,33649,India: Flood - Himachal Pradesh - 14/10/2025,,,2025-10-14,2025-10-14,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Himachal Pradesh, India","31.929239, 77.182854",State/Region/Province (ADM1),Origin,,2025-10-21T12:51:17.731921Z,"India: 18 displacements (destroyed housing), 14 October - 14 October. A total of 4 households were displaced due to destroyed housing due to flood on 14 October in Himachal Pradesh, India, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 14 October 2025",,Flood
195297,India,IND,26.12117,94.555794,"[26.12117, 94.555794]",Recommended figure,Disaster,total,9,2025-10-13,2025-10-13,2025-10-13,2025,33647,India: Flood - Nagaland - 13/10/2025,,,2025-10-13,2025-10-13,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Nagaland, India","26.12117, 94.555794",State/Region/Province (ADM1),Origin,,2025-10-21T12:46:38.026531Z,"India: 9 displacements (destroyed housing), 13 October - 13 October. A total of 2 households were displaced due to destroyed housing due to flood on 13 October in Nagaland, India, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 12 October 2025",,Flood
195303,India,IND,27.60103,88.45414,"[27.60103, 88.45414]",Recommended figure,Disaster,total,153,2025-10-13,2025-10-13,2025-10-13,2025,33648,India: Flood - Sikkim - 13/10/2025,,,2025-10-13,2025-10-13,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Sikkim, India","27.60103, 88.45414",State/Region/Province (ADM1),Origin,,2025-10-21T12:48:10.317253Z,"India: 153 displacements (in relief camp), 13 October - 13 October. Flood resulted in a total of 153 people being in relief camp in Sikkim, India on 13 October, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 12 October 2025",,Flood
195288,India,IND,15.02133,75.536133,"[15.02133, 75.536133]",Recommended figure,Disaster,total,9,2025-10-11,2025-10-11,2025-10-11,2025,33645,India: Flood - Karnataka - 11/10/2025,,,2025-10-11,2025-10-11,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Karnataka, India","15.02133, 75.536133",District/Zone/Department (ADM2),Origin,,2025-10-21T12:35:00.613817Z,"India: 9 displacements (destroyed housing), 11 October - 11 October. A total of 2 households were displaced due to destroyed housing due to flood on 11 October in Karnataka, India, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 11 October 2025",,Flood
195290,India,IND,25.577869,91.265472,"[25.577869, 91.265472]",Recommended figure,Disaster,total,4,2025-10-11,2025-10-11,2025-10-11,2025,33646,India: Flood - Meghalaya - 11/10/2025,,,2025-10-11,2025-10-11,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Meghalaya, India","25.577869, 91.265472",State/Region/Province (ADM1),Origin,,2025-10-21T12:35:00.761989Z,"India: 4 displacements (destroyed housing), 11 October - 11 October. According to national/regional disaster authorities, a total of 1 household were displaced due to destroyed housing in Meghalaya, India due to flood on 11 October National Disaster Management Authority (NDMA) - 11 October 2025",,Flood
195274,India,IND,26.12117,94.555794,"[26.12117, 94.555794]",Recommended figure,Disaster,total,193,2025-10-09,2025-10-09,2025-10-09,2025,33644,India: Flood - Nagaland - 09/10/2025,,,2025-10-09,2025-10-09,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Nagaland, India","26.12117, 94.555794",State/Region/Province (ADM1),Origin,,2025-10-21T12:19:02.184669Z,"India: 193 displacements (destroyed housing), 09 October - 09 October. Flood resulted in a total of 44 households being displaced due to destroyed housing in Nagaland, India on 9 October, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 09 October 2025",,Flood
195272,India,IND,24.76339,93.865471,"[24.76339, 93.865471]",Recommended figure,Disaster,total,4,2025-10-09,2025-10-09,2025-10-09,2025,33643,India: Flood - Manipur - 09/10/2025,,,2025-10-09,2025-10-09,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Manipur, India","24.76339, 93.865471",State/Region/Province (ADM1),Origin,,2025-10-21T12:17:58.714272Z,"India: 4 displacements (destroyed housing), 09 October - 09 October. A total of 1 household were displaced due to destroyed housing due to flood on 9 October in Manipur, India, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 09 October 2025",,Flood
195266,India,IND,31.929239,77.182854,"[31.929239, 77.182854]",Recommended figure,Disaster,total,9,2025-10-08,2025-10-08,2025-10-08,2025,33641,India: Flood - Himachal Pradesh - 08/10/2025,,,2025-10-08,2025-10-08,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Himachal Pradesh, India","31.929239, 77.182854",State/Region/Province (ADM1),Origin,,2025-10-21T12:07:07.337307Z,"India: 9 displacements (destroyed housing), 08 October - 08 October. A total of 2 households were displaced due to destroyed housing due to flood on 8 October in Himachal Pradesh, India, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 08 October 2025",,Flood
195264,India,IND,22.41342,71.498672,"[22.41342, 71.498672]",Recommended figure,Disaster,total,9,2025-10-08,2025-10-08,2025-10-08,2025,33640,India: Flood - Gujarat - 08/10/2025,,,2025-10-08,2025-10-08,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Gujarat, India","22.41342, 71.498672",State/Region/Province (ADM1),Origin,,2025-10-21T12:02:12.371068Z,"India: 9 displacements (destroyed housing), 08 October - 08 October. According to national/regional disaster authorities, a total of 2 households were displaced due to destroyed housing in Gujarat, India due to flood on 8 October National Disaster Management Authority (NDMA) - 08 October 2025",,Flood
194958,India,IND,20.190729,84.702293,"[20.190729, 84.702293]",Recommended figure,Disaster,total,252,2025-10-04,2025-10-04,2025-10-04,2025,33568,India: Flood - Odisha - 04/10/2025,,,2025-10-04,2025-10-04,Weather related,Hydrological,Flood,Flood,,National Disaster Management Authority (NDMA),,"Odisha, India","20.190729, 84.702293",District/Zone/Department (ADM2),Origin,Displacement without preventive evacuations reported,2025-10-16T07:45:24.431160Z,"India: 252 displacements (in relief camp), 04 October - 04 October. Flood resulted in a total of 252 people being in relief camp in Odisha, India on 4 October, according to national/regional disaster authorities. National Disaster Management Authority (NDMA) - 04 October 2025",,Flood
